URL,Title,Description
https://www.ukr.net/news/details/hmelnitskiy/108661105.html,Відкрите звернення до міського голови Хмельницького та правоохоронців щодо свавілля забудовника. Читайте на UKR.NET,"До міської влади звертаються мешканці будинку №18/1 по вул. Степана Бандери у Хмельницькому, які страждають від нечесного на руку забудовника. Суть у"
https://dsa.court.gov.ua/open_data_files/91509/532/f2d5a0a48c89b757cd45abbd36ab98af.csv,Без заголовка,Опис відсутній
https://dsa.court.gov.ua/open_data_files/91509/532/3543e4fbab2539ca1e49fe670f3988e7.csv,Без заголовка,Опис відсутній
https://old.archives.gov.ua/Rozsekr_mat/R_F_T1_09.pdf,Помилка доступу,403 Client Error: Forbidden for url: https://old.archives.gov.ua/Rozsekr_mat/R_F_T1_09.pdf
https://ivpz.kh.ua/wp-content/uploads/2020/05/Almanah_2020.pdf,Без заголовка,Опис відсутній
https://eprints.cdu.edu.ua/2643/3/Almanah_2020-167-248.pdf,Помилка доступу,502 Server Error: Bad Gateway for url: https://eprints.cdu.edu.ua/2643/3/Almanah_2020-167-248.pdf
https://kntu.kr.ua/doc/science/zahody/vikl/2022/13-tez.pdf,Без заголовка,Опис відсутній


